"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","violet",TRUE,0.00224,2951,198,64,0.323,0.022,"GO:0006996","BP",5,"organelle organization",1,"SYT7,RAB7A,STARD7,WBP11,SEH1L,HNRNPC,NUP50,WAC,CIRBP,NEFM,GSK3A,DNM1,YWHAE,SENP6,TFG,GORASP2,KMT2A,PPP6C,ARL1,ZCCHC17,NAA60,SIN3B,EMC6,ATP6V1F,VPS25,PEX11B,TIMM10B,WBP2,WASF3,RTN3,SRPK2,CALCOCO2,ATAT1,ABI2,HMG20A,DYM,ANP32E,KCNN3,GTF2H2,PAK1,ELMO1,VPS37A,PEX19,SMC6,NDEL1,PATL1,YWHAB,BSCL2,KIF5C,SLC25A6,UBE2E1,TOM1L2,UBE2N,NOP10,ATP6V0C,MBD5,SUPT4H1,NCKIPSD,ATP6V1G2,UBXN2B,PDXP,CHMP4A,BRK1,RPS10-NUDT3",2.9244389639695
"2","violet",TRUE,0.036,295,198,14,0.071,0.047,"GO:0002768","BP",2,"immune response-regulating cell surface receptor signaling pathway",1,"NFATC3,SPG21,HSP90AB1,PSMA3,PSMD7,PSMF1,UBE2D2,PAK1,ELMO1,SPPL3,UBE2N,NCKIPSD,UBE2V1,BRK1",5.19013134058318
"3","violet",TRUE,0.00894,191,198,12,0.061,0.063,"GO:0038093","BP",2,"Fc receptor signaling pathway",2,"NFATC3,HSP90AB1,PSMA3,PSMD7,PSMF1,UBE2D2,PAK1,ELMO1,UBE2N,NCKIPSD,UBE2V1,BRK1",5.79299167447102
"4","violet",TRUE,0.0453,28,198,5,0.025,0.179,"GO:1903051","BP",6,"negative regulation of proteolysis involved in cellular protein catabolic process",1,"WAC,HSP90AB1,PDCL3,PSMF1,PRKCG",7.38342663977951
"5","violet",TRUE,0.00529,720,198,25,0.126,0.035,"GO:0070647","BP",4,"protein modification by small protein conjugation or removal",1,"RNF10,PIAS1,SEH1L,HNRNPC,NUP50,WAC,HSP90AB1,PSMA3,PSMD7,RNF167,SENP6,PDCL3,TRIM24,PSMF1,PRKCG,UBE2D2,DCAF8,BRE,SMC6,RNF187,UBE2E1,CDC26,UBE2N,RNF5,UBE2V1",4.32998055109387
"6","violet",TRUE,0.00544,626,198,23,0.116,0.037,"GO:0032446","BP",4,"protein modification by small protein conjugation",2,"RNF10,PIAS1,SEH1L,HNRNPC,NUP50,WAC,HSP90AB1,PSMA3,PSMD7,RNF167,PDCL3,TRIM24,PSMF1,PRKCG,UBE2D2,DCAF8,SMC6,RNF187,UBE2E1,CDC26,UBE2N,RNF5,UBE2V1",4.46026505906035
"7","violet",TRUE,9.44e-06,3791,198,83,0.419,0.022,"GO:0032991","CC",1,"macromolecular complex",1,"RPS20,PUM2,EIF2B3,RAB7A,WBP11,SEH1L,HNRNPC,TOX4,HSP90AB1,CIRBP,CYB5R3,PSMA3,ERH,SUPT20H,NUTF2,PSMD7,GSK3A,SHOC2,PRKAR1A,VPS29,CPSF6,SCP2,KMT2A,NAPB,PSMF1,MAX,DYNLRB1,SIN3B,EMC6,ATP6V1F,VPS25,UBE2D2,PEX11B,TIMM10B,ANKRD17,WBP2,DCAF8,NAA35,SYNCRIP,ATP5G2,C2ORF49,CIR1,ABI2,TCF12,RPS2,SDHC,SF3B4,ANP32E,UBAP2L,GTF2H2,PAK1,ELMO1,VPS37A,KCNMA1,BRE,PEX19,SMC6,KRTCAP2,NDEL1,PATL1,SRRM2,KIF5C,SLC25A6,UBE2E1,FAM98B,RBM4,CDC26,UBE2N,PRKAG1,NOP10,ATP6V0C,H1F0,RNF5,CSNK2B,PPP1R11,SUPT4H1,NCKIPSD,VPS52,POLR2J2,UBE2V1,CHMP4A,BRK1,RPS10-NUDT3",2.1696505805963
"8","violet",TRUE,0.000617,3177,198,69,0.348,0.022,"GO:0043234","CC",1,"protein complex",2,"EIF2B3,RAB7A,SEH1L,HNRNPC,TOX4,HSP90AB1,CYB5R3,PSMA3,SUPT20H,NUTF2,PSMD7,GSK3A,SHOC2,PRKAR1A,VPS29,CPSF6,SCP2,KMT2A,NAPB,PSMF1,MAX,DYNLRB1,SIN3B,EMC6,ATP6V1F,VPS25,UBE2D2,PEX11B,TIMM10B,DCAF8,NAA35,SYNCRIP,ATP5G2,C2ORF49,CIR1,ABI2,TCF12,SDHC,ANP32E,UBAP2L,GTF2H2,PAK1,ELMO1,VPS37A,KCNMA1,BRE,PEX19,SMC6,KRTCAP2,NDEL1,PATL1,KIF5C,SLC25A6,UBE2E1,FAM98B,CDC26,UBE2N,PRKAG1,ATP6V0C,RNF5,CSNK2B,PPP1R11,SUPT4H1,NCKIPSD,VPS52,POLR2J2,UBE2V1,CHMP4A,BRK1",2.41769382506392
"9","violet",TRUE,0.018,6773,198,113,0.571,0.017,"GO:0044422","CC",3,"organelle part",1,"RPS20,VEZT,PIAS1,ZZZ3,ARID4B,PUM2,NFATC3,RAB7A,WBP11,SEH1L,PHACTR3,SPG21,SLC22A17,HNRNPC,TOX4,NUP50,WAC,HSP90AB1,CIRBP,TECR,CYB5R3,PSMA3,SUPT20H,NUTF2,NFAT5,PSMD7,SHOC2,PRKAR1A,YWHAE,CPSF6,SENP6,GORASP2,SCP2,TXNDC12,KMT2A,SATB2,TMEM214,ARL1,NAA60,NAPB,PSMF1,MAX,DYNLRB1,SIN3B,EMC6,ATP6V1F,VPS25,UBE2D2,PEX11B,TIMM10B,ANKRD17,WBP2,RTN3,ARF3,SRPK2,SYNCRIP,ATP5G2,C2ORF49,ATAT1,CIR1,NOVA1,TCF12,RPS2,SDHC,SF3B4,ANP32E,UBAP2L,BDP1,GTF2H2,NFIB,PAK1,PIGF,VPS37A,SPPL3,RAB28,BRE,CSTB,PEX19,SMC6,KRTCAP2,CAMK2N2,UBLCP1,PCBD1,NDEL1,YWHAB,SRRM2,BSCL2,RNF187,KIF5C,CDKN2AIP,SLC25A6,UBE2E1,FAM98B,TBCA,RBM4,CDC26,CHD9,UBE2N,PRKAG1,NOP10,ATP6V0C,H1F0,RORB,RNF5,MBD5,CSNK2B,SUPT4H1,NCKIPSD,HNRNPUL2,VPS52,POLR2J2,CHMP4A,RPS10-NUDT3",1.42400670158964
"10","violet",TRUE,0.0145,10931,198,161,0.813,0.015,"GO:0005622","CC",3,"intracellular",1,"RPS20,SYT7,RNF10,VEZT,PIAS1,ZZZ3,ARID4B,PUM2,SEC61A2,EIF2B3,NFATC3,RAB7A,NRD1,NFE2L1,WBP11,SEH1L,PHACTR3,SPG21,HNRNPC,TOX4,NUP50,WAC,HSP90AB1,CIRBP,TECR,CYB5R3,PSMA3,ERH,SUPT20H,NUTF2,NFAT5,PSMD7,NEFM,ECH1,GSK3A,SHOC2,RNF167,PRKAR1A,YWHAE,VPS29,CPSF6,SENP6,TFG,PDCL3,GORASP2,SCP2,DNAJC6,TXNDC12,KMT2A,SATB2,PPP6C,TMEM214,ARL1,ZCCHC17,KIAA1191,NAA60,TRIM24,MT1G,NAPB,PSMF1,NRSN2,MAX,DYNLRB1,PRKCG,SIN3B,EMC6,PTPN12,ATP6V1F,VPS25,UBE2D2,PEX11B,TIMM10B,ANKRD17,WBP2,DCAF8,RTN3,C14ORF1,ARF3,NAA35,SRPK2,SYNCRIP,ATP5G2,C2ORF49,CALCOCO2,ATAT1,CIR1,ABI2,NOVA1,TCF12,HMG20A,RPS2,DYM,SDHC,SF3B4,ANP32E,UBAP2L,BDP1,GTF2H2,NFIB,PAK1,EI24,PIGF,ELMO1,VPS37A,SPPL3,RAB28,BRE,CSTB,PEX19,SMC6,KRTCAP2,CAMK2N2,UBLCP1,PHYHIPL,PCBD1,TUB,ATMIN,NDEL1,PATL1,YWHAB,MAPRE2,ZNF444,SRRM2,BSCL2,RNF187,KIF5C,CDKN2AIP,SLC25A6,CNBP,UBE2E1,FAM98B,TBCA,FAM192A,RBM4,CDC26,CHD9,UBE2N,PRKAG1,WRB,NOP10,RGS7,ATP6V0C,H1F0,RORB,RNF5,MBD5,CSNK2B,PPP1R11,SUPT4H1,GSTM2,NCKIPSD,ATP6V1G2,HNRNPUL2,UBXN2B,VPS52,POLR2J2,PDXP,UBE2V1,CHMP4A,BRK1,RPS10-NUDT3",0.535768712823952
