"","ensgene","name","module","mm"
"1","uc009viv.2","uc009viv.2","pink",0.204512791706145
"2","uc001abo.3","uc001abo.3","blue",0.175205893936745
"3","uc010nxx.2","uc010nxx.2","violet",0.141558151763963
"4","uc001abp.2","uc001abp.2","greenyellow",0.221428048653738
"5","uc001abt.4","uc001abt.4","yellowgreen",0.0985023215058001
"6","uc001abz.4","uc001abz.4","red",0.185108872748283
"7","uc001acj.4","uc001acj.4","yellowgreen",0.79620018118428
"8","uc001ack.2","uc001ack.2","darkturquoise",0.393624061329601
"9","uc001acl.1","uc001acl.1","greenyellow",0.175151764672051
"10","uc001adg.3","uc001adg.3","tan",0.139885509902151
"11","uc001adk.3","uc001adk.3","white",0.295205143110851
"12","uc001adp.3","uc001adp.3","skyblue3",0.140009272239578
"13","uc001aea.2","uc001aea.2","lightgreen",0.233112033855553
"14","uc001aee.2","uc001aee.2","saddlebrown",0.16311673591346
"15","uc001aeo.3","uc001aeo.3","skyblue",0.138802753291151
"16","uc001aer.4","uc001aer.4","brown",0.184331252245192
"17","uc001aew.3","uc001aew.3","white",0.31660792917726
"18","uc001afb.1","uc001afb.1","darkgrey",0.39189446553892
"19","uc001aff.1","uc001aff.1","darkred",0.199230815689594
"20","uc009vkd.3","uc009vkd.3","skyblue",0.176552212408576
"21","uc001afo.4","uc001afo.4","darkred",0.317648302330408
"22","uc001afs.3","uc001afs.3","lightgreen",0.475112737098197
"23","uc001aft.2","uc001aft.2","blue",0.166355396578822
"24","uc001afw.2","uc001afw.2","white",0.157629330583972
"25","uc009vkf.3","uc009vkf.3","orangered4",0.172272444974955
"26","uc001agd.3","uc001agd.3","violet",0.347637339631125
"27","uc021oes.1","uc021oes.1","white",0.288797247330288
"28","uc001agf.1","uc001agf.1","plum1",0.166582972186192
"29","uc021oet.1","uc021oet.1","yellowgreen",0.218981397763724
"30","uc001aha.1","uc001aha.1","darkgrey",0.171366656540638
"31","uc001ahe.4","uc001ahe.4","lightyellow",0.191076234694361
"32","uc001ahy.3","uc001ahy.3","white",0.258672545377149
"33","uc001aif.3","uc001aif.3","sienna3",0.639315889282532
"34","uc001aim.1","uc001aim.1","plum1",0.304278681895622
